#repetition,Consumer0,Consumer1,Consumer2,Consumer3,Consumer4,Consumer5,Consumer6,Consumer7,Consumer8,Consumer9,Consumer10,Consumer11,Consumer12,Consumer13,Consumer14,Consumer15,Consumer16,Consumer17,Consumer18,Consumer19,Consumer20,Consumer21,Consumer22,Consumer23,Consumer24,Consumer25,Consumer26,Consumer27,Consumer28,Consumer29,Consumer30,Consumer31,Consumer32,Consumer33,Consumer34,Consumer35,Consumer36,Consumer37,Consumer38,Consumer39,Consumer40,Consumer41,Consumer42,Consumer43,Consumer44,Consumer45,Consumer46,Consumer47,Consumer48,Consumer49
70,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3,2,3,0,3,2,3,2,3,2,3,3,3,3,2,3,3,2,3,2,3,3,1,2,3,3,3,2,2,3,3,3,0,1,3,3
71,3,3,2,3,2,2,3,3,3,3,3,3,2,2,3,3,3,0,2,3,3,3,3,3,3,2,2,3,3,2,3,3,2,3,3,3,0,1,2,3,3,3,3,3,3,3,0,3,3,3
72,3,3,3,3,3,3,3,3,3,2,2,3,3,1,3,2,3,0,3,2,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,0,0,3,3,3,3,2,3,3,3,0,3,3,3
73,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,0,3,1,2,2,3,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,3,0,3,3,3
74,3,2,3,3,2,3,3,3,1,3,3,3,3,2,2,2,3,0,3,0,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,3,2,3,3,3,2,3,0,2,3,3,0,2,2,2
75,3,3,3,2,3,2,3,2,3,3,3,2,2,3,3,3,2,0,3,3,2,3,3,2,3,3,3,3,3,2,2,3,3,3,3,2,3,3,2,3,3,3,3,3,2,3,0,1,3,3
76,2,3,3,1,3,1,2,3,3,3,2,3,3,2,3,2,3,0,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,1,2,2,3,2,3,3,3,0,0,3,2
77,3,2,2,3,3,3,1,3,3,3,3,3,2,3,3,1,3,0,3,3,2,3,3,2,3,3,3,3,2,2,3,3,1,3,2,3,3,3,0,3,3,3,3,3,2,3,0,3,3,3
78,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,0,3,0,3,2,3,3,2,3,3,3,3,3,3,3,3,2,3,3,1,3,2,3,3,3,3,2,2,3,1,2,0,3,3,3
79,3,3,3,3,3,1,3,3,3,3,3,3,2,1,3,3,3,0,2,3,3,3,3,2,3,3,2,2,3,2,2,3,3,2,3,3,3,3,3,2,2,3,3,2,3,3,0,3,2,3
80,2,3,2,3,3,3,3,3,3,2,3,3,3,0,3,2,3,0,3,2,3,3,3,3,3,2,3,1,3,3,3,2,2,3,3,3,2,3,3,1,3,3,2,1,3,3,0,2,3,3
81,3,3,3,2,3,2,3,2,2,3,3,3,2,3,3,3,2,0,3,3,3,3,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,3,3
82,3,3,3,1,2,1,3,3,3,3,3,2,3,2,3,2,1,0,3,2,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,2,3,3,2,3,3,2,3,2,3,0,3,2,2
83,3,3,3,3,3,0,3,3,3,3,2,3,2,3,2,3,0,0,3,3,3,2,2,2,3,3,3,2,3,2,3,3,3,3,3,3,1,3,2,3,3,2,3,2,3,3,0,3,3,3
84,3,3,3,3,2,3,3,3,3,3,1,3,3,2,1,2,3,0,2,2,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,2,3,2,3,3,3,0,3,3,2
85,3,3,2,2,3,2,2,3,3,3,3,3,2,3,3,1,3,0,3,3,3,3,3,2,3,3,3,3,3,2,3,1,3,3,3,3,2,3,3,3,1,3,3,3,3,2,0,2,3,3
86,3,2,3,3,2,3,3,3,3,3,2,2,3,2,3,3,2,0,2,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,0,1,3,2
87,3,1,3,3,3,2,3,3,3,2,3,3,2,3,2,2,3,0,1,3,3,3,3,2,2,3,3,1,3,2,3,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,0,3,3,3
88,2,3,3,2,3,3,3,3,2,3,2,3,3,2,3,3,3,0,3,2,3,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,0,3,3,2
89,3,3,3,3,3,2,3,3,3,2,3,2,2,3,3,2,3,0,3,3,3,3,2,2,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,2,3,1,2,2,3,0,3,3,3
